Rk,Tm,G,PF,Pass Y/P,Rush NY/A
1,Kansas City Chiefs,7,223,6.3,7.5
2,Seattle Seahawks,7,183,6.3,6.8
3,Baltimore Ravens,7,181,5.9,6.3
4,Buffalo Bills,6,176,6.6,7.6
5,New Orleans Saints,7,175,6.1,6.7
6,Cincinnati Bengals,7,173,5.5,6.6
7,Cleveland Browns,7,168,5.6,6.1
8,Los Angeles Chargers,7,164,5.3,6.2
9,Las Vegas Raiders,6,163,6.0,6.4
10,Atlanta Falcons,7,163,5.4,6.4
11,Philadelphia Eagles,6,161,5.6,7.2
12,New York Jets,7,159,5.1,5.5
13,Arizona Cardinals,7,156,4.9,5.1
14,New England Patriots,7,155,5.8,7.2
15,Jacksonville Jaguars,7,155,5.8,6.4
16,New York Giants,7,150,5.2,5.3
17,Miami Dolphins,7,147,6.1,7.3
18,Detroit Lions,6,146,6.1,6.7
19,San Francisco 49ers,7,145,5.8,6.9
20,Minnesota Vikings,6,139,5.4,6.0
21,Dallas Cowboys,7,134,5.1,5.8
22,Green Bay Packers,7,128,5.3,5.8
23,Chicago Bears,7,126,5.3,5.4
24,Washington Commanders,7,125,4.9,5.4
25,Carolina Panthers,7,124,5.1,5.4
26,Tampa Bay Buccaneers,7,124,5.1,6.1
27,Tennessee Titans,6,115,4.9,6.1
28,Indianapolis Colts,7,113,5.0,5.7
29,Pittsburgh Steelers,7,107,4.8,5.5
30,Houston Texans,6,106,5.2,5.7
31,Los Angeles Rams,6,104,5.0,5.8
32,Denver Broncos,7,100,5.1,5.8
,Avg Team,,146.5,5.5,6.2
,League Total,,4688,5.5,6.2
,Avg Tm/G,,21.7,5.5,6.2
